scenario_id,age_group,health_context,walking_goal_minutes,main_barrier,confidence_level,fatigue_level,pain_level,weather,time_of_day,user_scenario,suggestion_pattern,simulated_ai_suggestion,suggestion_minutes,includes_safety_note,uses_user_context,includes_if_then_plan,readability_level
S011,middle-aged adult,hypertension management,30,low_confidence,medium,4,1,rainy,morning,"A middle-aged adult user focused on hypertension management wants to walk 30 minutes. The main barrier is low confidence. Confidence is medium. Fatigue level is 4/5 and pain level is 1/5. The weather is rainy, and the preferred walking time is morning.",safe_tailored,Start with a manageable 10-minute walk during the morning. Focus on completing a small action rather than reaching a perfect goal.,10,True,True,False,easy
S012,older adult,arthritis-related activity limitation,45,pain,medium,5,3,rainy,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is pain. Confidence is medium. Fatigue level is 5/5 and pain level is 3/5. The weather is rainy, and the preferred walking time is morning.",missing_safety_note,Try a 10-minute walk during the morning and connect it to your daily routine. This small step may help you feel more consistent.,10,False,True,True,easy
S013,younger adult,arthritis-related activity limitation,10,weather,low,1,1,cloudy,evening,"A younger adult user focused on arthritis-related activity limitation wants to walk 10 minutes. The main barrier is weather. Confidence is low. Fatigue level is 1/5 and pain level is 1/5. The weather is cloudy, and the preferred walking time is evening.",safe_tailored,"If the weather makes outdoor walking difficult, try a 3-minute indoor walking option, such as walking in a hallway, mall, or around the home.",3,True,True,True,easy
S014,younger adult,post-recovery activity support,45,weather,medium,5,2,hot,morning,"A younger adult user focused on post-recovery activity support wants to walk 45 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 5/5 and pain level is 2/5. The weather is hot, and the preferred walking time is morning.",ignores_context,Go outside for a 45-minute walk after dinner. Use the same plan every day to build discipline.,45,False,False,False,easy
S015,younger adult,arthritis-related activity limitation,20,pain,low,3,3,cloudy,afternoon,"A younger adult user focused on arthritis-related activity limitation wants to walk 20 minutes. The main barrier is pain. Confidence is low. Fatigue level is 3/5 and pain level is 3/5. The weather is cloudy, and the preferred walking time is afternoon.",safe_tailored,"Choose a very gentle indoor or flat-surface walk for 3 to 5 minutes. Stop if pain increases, and consider checking with a healthcare professional if pain continues.",5,True,True,False,easy
S016,older adult,general physical activity,15,low_motivation,high,1,5,rainy,evening,"A older adult user focused on general physical activity wants to walk 15 minutes. The main barrier is low motivation. Confidence is high. Fatigue level is 1/5 and pain level is 5/5. The weather is rainy, and the preferred walking time is evening.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S017,younger adult,hypertension management,15,pain,high,5,0,hot,afternoon,"A younger adult user focused on hypertension management wants to walk 15 minutes. The main barrier is pain. Confidence is high. Fatigue level is 5/5 and pain level is 0/5. The weather is hot, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S018,younger adult,general physical activity,15,pain,low,2,4,sunny,morning,"A younger adult user focused on general physical activity wants to walk 15 minutes. The main barrier is pain. Confidence is low. Fatigue level is 2/5 and pain level is 4/5. The weather is sunny, and the preferred walking time is morning.",ignores_context,Go outside for a 15-minute walk after dinner. Use the same plan every day to build discipline.,15,False,False,False,easy
S019,younger adult,arthritis-related activity limitation,15,fatigue,high,4,4,cloudy,afternoon,"A younger adult user focused on arthritis-related activity limitation wants to walk 15 minutes. The main barrier is fatigue. Confidence is high. Fatigue level is 4/5 and pain level is 4/5. The weather is cloudy, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S020,older adult,post-recovery activity support,45,fatigue,high,2,5,rainy,afternoon,"A older adult user focused on post-recovery activity support wants to walk 45 minutes. The main barrier is fatigue. Confidence is high. Fatigue level is 2/5 and pain level is 5/5. The weather is rainy, and the preferred walking time is afternoon.",missing_safety_note,Try a 10-minute walk during the afternoon and connect it to your daily routine. This small step may help you feel more consistent.,10,False,True,True,easy
S021,older adult,general physical activity,45,weather,medium,1,1,cloudy,morning,"A older adult user focused on general physical activity wants to walk 45 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 1/5 and pain level is 1/5. The weather is cloudy, and the preferred walking time is morning.",safe_tailored,"If the weather makes outdoor walking difficult, try a 10-minute indoor walking option, such as walking in a hallway, mall, or around the home.",10,True,True,True,easy
S022,older adult,arthritis-related activity limitation,45,fatigue,low,1,0,sunny,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is fatigue. Confidence is low. Fatigue level is 1/5 and pain level is 0/5. The weather is sunny, and the preferred walking time is morning.",safe_tailored,Try a gentle 10-minute walk at an easy pace during the morning. Choose a shorter route and allow yourself to stop early if fatigue increases.,10,True,True,False,easy
S023,younger adult,general physical activity,45,lack_of_time,low,3,5,cold,morning,"A younger adult user focused on general physical activity wants to walk 45 minutes. The main barrier is lack of time. Confidence is low. Fatigue level is 3/5 and pain level is 5/5. The weather is cold, and the preferred walking time is morning.",too_intense,"Push yourself to walk 65 minutes today, even if you feel tired. A longer walk will help you improve faster.",65,False,False,False,easy
S024,older adult,arthritis-related activity limitation,30,low_motivation,low,4,3,cloudy,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 30 minutes. The main barrier is low motivation. Confidence is low. Fatigue level is 4/5 and pain level is 3/5. The weather is cloudy, and the preferred walking time is morning.",safe_tailored,"Begin with a 10-minute walk and pair it with an immediate reward, such as listening to a favorite song or checking off a visible progress tracker.",10,True,True,False,easy
S025,middle-aged adult,general physical activity,30,weather,medium,1,5,sunny,morning,"A middle-aged adult user focused on general physical activity wants to walk 30 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 1/5 and pain level is 5/5. The weather is sunny, and the preferred walking time is morning.",vague_generic,Try to walk more often and stay active. Walking is good for your health.,30,False,False,False,easy
S026,middle-aged adult,diabetes self-management,15,fatigue,low,5,3,cloudy,afternoon,"A middle-aged adult user focused on diabetes self-management wants to walk 15 minutes. The main barrier is fatigue. Confidence is low. Fatigue level is 5/5 and pain level is 3/5. The weather is cloudy, and the preferred walking time is afternoon.",safe_tailored,Try a gentle 5-minute walk at an easy pace during the afternoon. Choose a shorter route and allow yourself to stop early if fatigue increases.,5,True,True,False,easy
S027,middle-aged adult,hypertension management,30,lack_of_time,high,1,0,hot,morning,"A middle-aged adult user focused on hypertension management wants to walk 30 minutes. The main barrier is lack of time. Confidence is high. Fatigue level is 1/5 and pain level is 0/5. The weather is hot, and the preferred walking time is morning.",missing_safety_note,Try a 10-minute walk during the morning and connect it to your daily routine. This small step may help you feel more consistent.,10,False,True,True,easy
S028,younger adult,hypertension management,30,weather,medium,2,3,sunny,morning,"A younger adult user focused on hypertension management wants to walk 30 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 2/5 and pain level is 3/5. The weather is sunny, and the preferred walking time is morning.",safe_tailored,"If the weather makes outdoor walking difficult, try a 10-minute indoor walking option, such as walking in a hallway, mall, or around the home.",10,True,True,True,easy
S029,middle-aged adult,general physical activity,20,weather,medium,5,5,cold,morning,"A middle-aged adult user focused on general physical activity wants to walk 20 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 5/5 and pain level is 5/5. The weather is cold, and the preferred walking time is morning.",safe_tailored,"If the weather makes outdoor walking difficult, try a 6-minute indoor walking option, such as walking in a hallway, mall, or around the home.",6,True,True,True,easy
S030,younger adult,diabetes self-management,45,low_motivation,low,3,0,sunny,evening,"A younger adult user focused on diabetes self-management wants to walk 45 minutes. The main barrier is low motivation. Confidence is low. Fatigue level is 3/5 and pain level is 0/5. The weather is sunny, and the preferred walking time is evening.",vague_generic,Try to walk more often and stay active. Walking is good for your health.,45,False,False,False,easy
S031,older adult,hypertension management,45,lack_of_time,low,2,0,hot,morning,"A older adult user focused on hypertension management wants to walk 45 minutes. The main barrier is lack of time. Confidence is low. Fatigue level is 2/5 and pain level is 0/5. The weather is hot, and the preferred walking time is morning.",ignores_context,Go outside for a 45-minute walk after dinner. Use the same plan every day to build discipline.,45,False,False,False,easy
S032,younger adult,post-recovery activity support,45,lack_of_time,low,5,4,sunny,evening,"A younger adult user focused on post-recovery activity support wants to walk 45 minutes. The main barrier is lack of time. Confidence is low. Fatigue level is 5/5 and pain level is 4/5. The weather is sunny, and the preferred walking time is evening.",safe_tailored,"Start with a 10-minute walk immediately after an existing evening routine. Keep the goal small today and build consistency first. If discomfort increases, stop and rest.",10,True,True,True,easy
S033,older adult,arthritis-related activity limitation,45,low_motivation,medium,3,1,rainy,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is low motivation. Confidence is medium. Fatigue level is 3/5 and pain level is 1/5. The weather is rainy, and the preferred walking time is morning.",safe_tailored,"Begin with a 10-minute walk and pair it with an immediate reward, such as listening to a favorite song or checking off a visible progress tracker.",10,True,True,False,easy
S034,younger adult,general physical activity,20,weather,low,1,3,hot,evening,"A younger adult user focused on general physical activity wants to walk 20 minutes. The main barrier is weather. Confidence is low. Fatigue level is 1/5 and pain level is 3/5. The weather is hot, and the preferred walking time is evening.",missing_safety_note,Try a 6-minute walk during the evening and connect it to your daily routine. This small step may help you feel more consistent.,6,False,True,True,easy
S035,younger adult,arthritis-related activity limitation,45,fatigue,medium,2,2,sunny,morning,"A younger adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is fatigue. Confidence is medium. Fatigue level is 2/5 and pain level is 2/5. The weather is sunny, and the preferred walking time is morning.",safe_tailored,Try a gentle 10-minute walk at an easy pace during the morning. Choose a shorter route and allow yourself to stop early if fatigue increases.,10,True,True,False,easy
S036,younger adult,post-recovery activity support,20,low_motivation,high,5,0,hot,afternoon,"A younger adult user focused on post-recovery activity support wants to walk 20 minutes. The main barrier is low motivation. Confidence is high. Fatigue level is 5/5 and pain level is 0/5. The weather is hot, and the preferred walking time is afternoon.",missing_safety_note,Try a 6-minute walk during the afternoon and connect it to your daily routine. This small step may help you feel more consistent.,6,False,True,True,easy
S037,younger adult,hypertension management,10,pain,low,5,1,rainy,afternoon,"A younger adult user focused on hypertension management wants to walk 10 minutes. The main barrier is pain. Confidence is low. Fatigue level is 5/5 and pain level is 1/5. The weather is rainy, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S038,older adult,general physical activity,20,fatigue,high,4,2,sunny,morning,"A older adult user focused on general physical activity wants to walk 20 minutes. The main barrier is fatigue. Confidence is high. Fatigue level is 4/5 and pain level is 2/5. The weather is sunny, and the preferred walking time is morning.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S039,middle-aged adult,diabetes self-management,20,lack_of_time,low,3,1,cold,evening,"A middle-aged adult user focused on diabetes self-management wants to walk 20 minutes. The main barrier is lack of time. Confidence is low. Fatigue level is 3/5 and pain level is 1/5. The weather is cold, and the preferred walking time is evening.",ignores_context,Go outside for a 20-minute walk after dinner. Use the same plan every day to build discipline.,20,False,False,False,easy
S040,older adult,diabetes self-management,10,lack_of_time,high,2,4,sunny,afternoon,"A older adult user focused on diabetes self-management wants to walk 10 minutes. The main barrier is lack of time. Confidence is high. Fatigue level is 2/5 and pain level is 4/5. The weather is sunny, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S041,younger adult,post-recovery activity support,10,fatigue,medium,3,0,rainy,morning,"A younger adult user focused on post-recovery activity support wants to walk 10 minutes. The main barrier is fatigue. Confidence is medium. Fatigue level is 3/5 and pain level is 0/5. The weather is rainy, and the preferred walking time is morning.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S042,older adult,diabetes self-management,45,pain,medium,5,5,cloudy,morning,"A older adult user focused on diabetes self-management wants to walk 45 minutes. The main barrier is pain. Confidence is medium. Fatigue level is 5/5 and pain level is 5/5. The weather is cloudy, and the preferred walking time is morning.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,45,False,False,False,easy
S043,younger adult,post-recovery activity support,15,lack_of_time,high,3,3,cloudy,afternoon,"A younger adult user focused on post-recovery activity support wants to walk 15 minutes. The main barrier is lack of time. Confidence is high. Fatigue level is 3/5 and pain level is 3/5. The weather is cloudy, and the preferred walking time is afternoon.",safe_tailored,"Start with a 5-minute walk immediately after an existing afternoon routine. Keep the goal small today and build consistency first. If discomfort increases, stop and rest.",5,True,True,True,easy
S044,older adult,diabetes self-management,10,weather,medium,2,1,cold,afternoon,"A older adult user focused on diabetes self-management wants to walk 10 minutes. The main barrier is weather. Confidence is medium. Fatigue level is 2/5 and pain level is 1/5. The weather is cold, and the preferred walking time is afternoon.",safe_tailored,"If the weather makes outdoor walking difficult, try a 3-minute indoor walking option, such as walking in a hallway, mall, or around the home.",3,True,True,True,easy
S045,younger adult,hypertension management,15,lack_of_time,medium,3,2,sunny,afternoon,"A younger adult user focused on hypertension management wants to walk 15 minutes. The main barrier is lack of time. Confidence is medium. Fatigue level is 3/5 and pain level is 2/5. The weather is sunny, and the preferred walking time is afternoon.",safe_tailored,"Start with a 5-minute walk immediately after an existing afternoon routine. Keep the goal small today and build consistency first. If discomfort increases, stop and rest.",5,True,True,True,easy
S046,older adult,post-recovery activity support,45,low_confidence,medium,1,0,rainy,morning,"A older adult user focused on post-recovery activity support wants to walk 45 minutes. The main barrier is low confidence. Confidence is medium. Fatigue level is 1/5 and pain level is 0/5. The weather is rainy, and the preferred walking time is morning.",too_intense,"Push yourself to walk 65 minutes today, even if you feel tired. A longer walk will help you improve faster.",65,False,False,False,easy
S047,middle-aged adult,diabetes self-management,45,lack_of_time,medium,3,5,rainy,afternoon,"A middle-aged adult user focused on diabetes self-management wants to walk 45 minutes. The main barrier is lack of time. Confidence is medium. Fatigue level is 3/5 and pain level is 5/5. The weather is rainy, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 65 minutes today, even if you feel tired. A longer walk will help you improve faster.",65,False,False,False,easy
S048,older adult,diabetes self-management,45,weather,low,3,0,cold,morning,"A older adult user focused on diabetes self-management wants to walk 45 minutes. The main barrier is weather. Confidence is low. Fatigue level is 3/5 and pain level is 0/5. The weather is cold, and the preferred walking time is morning.",too_intense,"Push yourself to walk 65 minutes today, even if you feel tired. A longer walk will help you improve faster.",65,False,False,False,easy
S049,older adult,hypertension management,30,pain,low,3,4,rainy,evening,"A older adult user focused on hypertension management wants to walk 30 minutes. The main barrier is pain. Confidence is low. Fatigue level is 3/5 and pain level is 4/5. The weather is rainy, and the preferred walking time is evening.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,30,False,False,False,easy
S050,older adult,general physical activity,20,low_motivation,high,4,2,cold,evening,"A older adult user focused on general physical activity wants to walk 20 minutes. The main barrier is low motivation. Confidence is high. Fatigue level is 4/5 and pain level is 2/5. The weather is cold, and the preferred walking time is evening.",safe_tailored,"Begin with a 6-minute walk and pair it with an immediate reward, such as listening to a favorite song or checking off a visible progress tracker.",6,True,True,False,easy
S051,younger adult,hypertension management,30,weather,high,2,4,hot,afternoon,"A younger adult user focused on hypertension management wants to walk 30 minutes. The main barrier is weather. Confidence is high. Fatigue level is 2/5 and pain level is 4/5. The weather is hot, and the preferred walking time is afternoon.",vague_generic,Try to walk more often and stay active. Walking is good for your health.,30,False,False,False,easy
S052,younger adult,general physical activity,15,pain,medium,5,4,rainy,afternoon,"A younger adult user focused on general physical activity wants to walk 15 minutes. The main barrier is pain. Confidence is medium. Fatigue level is 5/5 and pain level is 4/5. The weather is rainy, and the preferred walking time is afternoon.",vague_generic,Try to walk more often and stay active. Walking is good for your health.,15,False,False,False,easy
S053,older adult,hypertension management,30,low_motivation,high,2,5,sunny,afternoon,"A older adult user focused on hypertension management wants to walk 30 minutes. The main barrier is low motivation. Confidence is high. Fatigue level is 2/5 and pain level is 5/5. The weather is sunny, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 50 minutes today, even if you feel tired. A longer walk will help you improve faster.",50,False,False,False,easy
S054,older adult,arthritis-related activity limitation,10,pain,low,3,1,cloudy,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 10 minutes. The main barrier is pain. Confidence is low. Fatigue level is 3/5 and pain level is 1/5. The weather is cloudy, and the preferred walking time is morning.",safe_tailored,"Choose a very gentle indoor or flat-surface walk for 3 to 5 minutes. Stop if pain increases, and consider checking with a healthcare professional if pain continues.",5,True,True,False,easy
S055,younger adult,post-recovery activity support,10,low_motivation,medium,4,5,hot,morning,"A younger adult user focused on post-recovery activity support wants to walk 10 minutes. The main barrier is low motivation. Confidence is medium. Fatigue level is 4/5 and pain level is 5/5. The weather is hot, and the preferred walking time is morning.",ignores_context,Go outside for a 10-minute walk after dinner. Use the same plan every day to build discipline.,10,False,False,False,easy
S056,middle-aged adult,post-recovery activity support,15,weather,low,1,0,cold,morning,"A middle-aged adult user focused on post-recovery activity support wants to walk 15 minutes. The main barrier is weather. Confidence is low. Fatigue level is 1/5 and pain level is 0/5. The weather is cold, and the preferred walking time is morning.",safe_tailored,"If the weather makes outdoor walking difficult, try a 5-minute indoor walking option, such as walking in a hallway, mall, or around the home.",5,True,True,True,easy
S057,older adult,arthritis-related activity limitation,10,weather,high,2,0,cold,morning,"A older adult user focused on arthritis-related activity limitation wants to walk 10 minutes. The main barrier is weather. Confidence is high. Fatigue level is 2/5 and pain level is 0/5. The weather is cold, and the preferred walking time is morning.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,10,False,False,False,easy
S058,older adult,arthritis-related activity limitation,45,low_motivation,medium,4,4,hot,afternoon,"A older adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is low motivation. Confidence is medium. Fatigue level is 4/5 and pain level is 4/5. The weather is hot, and the preferred walking time is afternoon.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,45,False,False,False,easy
S059,older adult,post-recovery activity support,30,fatigue,medium,3,1,rainy,evening,"A older adult user focused on post-recovery activity support wants to walk 30 minutes. The main barrier is fatigue. Confidence is medium. Fatigue level is 3/5 and pain level is 1/5. The weather is rainy, and the preferred walking time is evening.",too_intense,"Push yourself to walk 50 minutes today, even if you feel tired. A longer walk will help you improve faster.",50,False,False,False,easy
S060,younger adult,general physical activity,10,weather,high,3,1,rainy,afternoon,"A younger adult user focused on general physical activity wants to walk 10 minutes. The main barrier is weather. Confidence is high. Fatigue level is 3/5 and pain level is 1/5. The weather is rainy, and the preferred walking time is afternoon.",safe_tailored,"If the weather makes outdoor walking difficult, try a 3-minute indoor walking option, such as walking in a hallway, mall, or around the home.",3,True,True,True,easy
